,time,n-xpos,n-ypos,t-xpos,t-ypos,c-xpos,c-ypos,c-xvel,c-yvel,c-xacc,c-yacc,c-speed,c-scacc,a-pos,a-vel
0,-0.5,0.13566262329866738,0.4528836635794598,0.08427670471777543,0.4825035764747698,0.1099696640082214,0.4676936200271148,,,,,,,-29.960043429191902,
1,-0.448809523809523,0.13441271358452295,0.45482171687715595,0.08429140906356028,0.4833460604054108,0.10935206132404161,0.46908388864128336,-0.01235205368359582,0.027805372283371543,,,0.03042551491789941,,-29.64447120730712,6.311444437695641
2,-0.397619047619046,0.13162701635570973,0.45494021135677604,0.08462345086656718,0.48781556935472475,0.10812523361113846,0.4713778903557504,-0.02453655425806306,0.04588003428934062,-0.24369001148934477,0.36149324011938155,0.052029030754473446,0.4359612188620518,-34.96981274805073,-106.50683081487216
3,-0.346428571428569,0.1259556800622315,0.451196274986095,0.08596479956648799,0.4944407946515892,0.10596023981435976,0.47281853481884206,-0.04329987593557405,0.02881288926183334,-0.3752664335502198,-0.3413429005501456,0.05201020903294637,0.5072867748182365,-47.2385298733787,-245.3743425065595
4,-0.29523809523809197,0.11684584337410837,0.4433174755478897,0.08858222139219467,0.4989965680232773,0.10271403238315152,0.4711570217855835,-0.06492414862416473,-0.03323026066517132,-0.4324854537718137,-1.2408629985400932,0.07293418470407319,1.3140717822364663,-63.08690216737273,-316.96744587988053
5,-0.24404761904761502,0.10555060517514415,0.43389253731263494,0.0914864141245572,0.4998391006215582,0.09851850964985068,0.46686581896709656,-0.08391045466601688,-0.08582405636973878,-0.3797261208370428,-1.0518759140913492,0.12002805111312011,1.1183178731878785,-77.96108889411275,-297.4837345348004
6,-0.192857142857138,0.09496070858277225,0.42656565477347336,0.09366941049268437,0.4985529836501971,0.09431505953772831,0.46255931921183524,-0.08406900224244729,-0.08612999510522634,-0.0031709515286082457,-0.006118774709751307,0.12035768855734527,0.006891613566174119,-88.97234696797308,-220.22516147720665
7,-0.141666666666661,0.08712503099510364,0.4233087465845337,0.09580641518306102,0.4967243183141829,0.09146572308908232,0.4600165324493583,-0.05698672897291979,-0.05085573524953868,0.54164546539055,0.7054851971137532,0.0763792713162687,0.8894319386691579,83.25609673077822,3444.5688739750262
8,-0.09047619047618399,0.08088636967874045,0.4220636239310951,0.09864740545552664,0.4940807414192222,0.08976688756713355,0.45807218267515865,-0.03397671043897543,-0.038886995483993214,0.4602003706788871,0.23937479531090933,0.05163928030120182,0.5187337214825394,76.14603828213235,-142.20116897291746
9,-0.039285714285706985,0.0729282744701333,0.4165686972171094,0.10000106817329765,0.4888353858542611,0.08646467132171548,0.4527020415356853,-0.06604432490836143,-0.10740282278946744,-0.6413522893877199,-1.3703165461094846,0.1260841750409105,1.512977262104192,69.46287369770339,-133.6632916885793
10,0.011904761904769967,0.061313170264952976,0.40123578875670807,0.09617001952328011,0.4780583961105619,0.07874159489411654,0.439647092433635,-0.15446152855197876,-0.2610989820410059,-1.7683440728723465,-3.073923185030769,0.3033661850395711,3.5462719167503876,65.59469992200627,-77.36347551394232
11,0.06309523809524697,0.047203740854032415,0.37706106905337816,0.08656694619948427,0.45885311618952584,0.06688534352675835,0.417957092621452,-0.23712502734716395,-0.43379999624366006,-1.653269975903704,-3.454020284053083,0.4943791210552816,3.8293025129747553,64.30036892110215,-25.886620018082453
12,0.11428571428572398,0.032591357515085045,0.34971748663131524,0.0739785015701999,0.4316079189274494,0.053284929542642474,0.3906627027793823,-0.27200827968231744,-0.5458877968413933,-0.6976650467030698,-2.2417560119546653,0.6099032636050443,2.3478088794716836,63.18812235661434,-22.244931289756096
13,0.165476190476201,0.01701072365268741,0.3218256038551086,0.059952149265185856,0.40098035700919094,0.03848143645893663,0.3614029804321498,-0.29606986167411686,-0.5851944469446502,-0.4812316398359884,-0.7861330020651369,0.6558276478821137,0.9217315162861575,61.52018450223329,-33.35875708762103
14,0.216666666666678,-0.0017473073707908737,0.2917656689081657,0.043067282418176075,0.3709916020614887,0.0206599875236926,0.33137863548482716,-0.35642897870488066,-0.6004868989464529,-1.207182340615276,-0.30584904003605473,0.6983023218255341,1.2453243909858798,60.50508772273384,-20.30193558998903
15,0.267857142857155,-0.022971913244713815,0.2602065730538632,0.022573800181016367,0.34103561483661826,-0.00019905653184872432,0.3006210939452407,-0.4171808811108265,-0.6151508307917286,-1.2150380481189171,-0.29327863690551403,0.7432700936995645,1.2499319250430339,60.59952166314435,1.8886788082102157
16,0.319047619047632,-0.04163411133437655,0.2311409126316616,0.0008173104274385359,0.30970274173291806,-0.020408400453469006,0.2704218271822898,-0.40418687843240564,-0.6039853352590185,0.2598800535684176,0.22330991065420136,0.726749831719885,0.3426440696103042,61.61512650963577,20.312096929828414
17,0.370238095238109,-0.05435150969934263,0.20493972824764534,-0.019179570988896125,0.27948281364521654,-0.03676554034411938,0.24221127094643094,-0.3271427978130075,-0.5642111247171772,1.5408816123879632,0.7954842108368276,0.6521936855072612,1.7341024401937792,64.74048297062566,62.50712921979783
18,0.42142857142858603,-0.0640304495786165,0.17720945944529598,-0.03625788107065362,0.2536653804620436,-0.05014416532463506,0.2154374199536698,-0.2675724996103136,-0.5354770198552228,1.1914059640538777,0.5746820972390876,0.5986072847374495,1.322765165881785,70.03647722604033,105.91988510829339
19,0.47261904761906304,-0.07388415074695934,0.14611776026159096,-0.05027151325953578,0.2304762236665968,-0.062077832003247554,0.18829699196409388,-0.2386733335722499,-0.5428085597915183,0.5779833207612739,-0.14663079872591078,0.5929638207693896,0.5962929734729634,74.36262356803356,86.52292683986445
