,n-xpos,n-ypos,t-xpos,t-ypos,time,c-xpos,c-ypos,c-xvel,c-yvel,c-xacc,c-yacc,c-speed,c-scacc,a-pos,a-vel
0,-0.04382584447446206,0.42896049898781596,-0.1313390949202865,0.39654347428048226,-0.5,-0.08758246969737428,0.41275198663414914,,,,,,,20.32584833193987,
1,-0.043487136854632805,0.43034071097506604,-0.13213839973751937,0.3970193420283684,-0.4488095238095243,-0.0878127682960761,0.4136800265017172,-0.0046059719740362826,0.01856079735136129,,,0.019123759466797004,,20.599745109644775,5.47793555409811
2,-0.0447833170503375,0.4284465422612173,-0.13265262767283834,0.3969207696742097,-0.3976190476190487,-0.08871797236158792,0.4126836559677135,-0.018104081310236497,-0.019927410680073976,-0.2699621867240043,-0.7697641606287053,0.026923214081903016,0.8157306205171051,19.736983561799768,-17.25523095690015
3,-0.04948862240483682,0.4218675020252807,-0.1339376992932384,0.3973503619960416,-0.3464285714285731,-0.0917131608490376,0.4096089320106612,-0.05990376974899375,-0.061494479141046554,-0.8359937687751451,-0.8313413692194516,0.0858488939647394,1.178988572296841,16.188997323463397,-70.95972476672742
4,-0.05689883102725476,0.4123348067858906,-0.13654943895270502,0.3996588065866533,-0.2952380952380974,-0.09672413498997989,0.4059968066862719,-0.10021948281884574,-0.07224250648778519,-0.8063142613970398,-0.21496054693477262,0.12354320895992059,0.834476317741103,9.042508402331887,-142.9297784226302
5,-0.06364048092259887,0.40332159537237866,-0.13924074538820524,0.4030900846942712,-0.24404761904762173,-0.10144061315540207,0.40320584003332494,-0.09432956330844344,-0.0558193330589396,0.11779839020804594,0.32846346857691167,0.10960777553215131,0.3489480060484411,0.17545630822968733,-177.34104188204398
6,-0.06854670936819687,0.39626840447547257,-0.14077955747864662,0.4058678393111025,-0.1928571428571461,-0.10466313342342175,0.40106812189328755,-0.06445040536039365,-0.042754362800747625,0.5975831589609959,0.26129940516383954,0.07734203442900252,0.6522139304038049,-7.570005337859307,-154.9092329217799
7,-0.07486371527337841,0.3887913956112726,-0.14093447422563904,0.4083438835777746,-0.1416666666666705,-0.10789909474950873,0.3985676395945236,-0.06471922652173973,-0.05000964597527857,-0.005376423226921556,-0.14510566349061893,0.08178962631131746,0.14520523235671545,-16.485200196225474,-178.30389716732333
8,-0.08497004836126311,0.3774101512528199,-0.13925895439166663,0.41207049234430343,-0.09047619047619482,-0.11211450137646486,0.39474032179856167,-0.08430813253912262,-0.0765463559192392,-0.3917781203476578,-0.5307341988792125,0.11387363969220055,0.6596733172132273,-32.55588800414401,-321.4137561583707
9,-0.09582594408260686,0.3608684112470802,-0.13573305212526465,0.41446191066377863,-0.03928571428571914,-0.11577949810393576,0.3876651609554294,-0.07329993454941786,-0.1415032168626451,0.2201639597940952,-1.2991372188681183,0.15936135286645164,1.3176606857004594,-53.3276754961192,-415.4357498395038
10,-0.10285059726975875,0.3391742095512328,-0.13248184814512734,0.40782384075871536,0.011904761904756533,-0.11766622270744304,0.3734990251549741,-0.037734492070145564,-0.28332271600910675,0.7113088495854458,-2.8363899829292327,0.2858245148663229,2.924220992804727,-66.6535158403582,-266.51680688477995
11,-0.10589835849507809,0.31098455978003503,-0.1316023858498538,0.3871731176608887,0.0630952380952321,-0.11875037217246594,0.34907883872046186,-0.021682989300458033,-0.4884037286902443,0.3210300553937506,-4.101620253622751,0.48888480670147394,4.114164435385936,-71.35695007377427,-94.06868466832151
12,-0.10790147484721177,0.2756320597839542,-0.13182725258707628,0.356753874553648,0.11428571428570777,-0.11986436371714403,0.3161929671688011,-0.02227983089356178,-0.6577174310332157,-0.011936831862074948,-3.3862740468594277,0.6580946815995238,3.386295085840664,-73.56729198842919,-44.20683829309837
13,-0.10939301248577277,0.23749270097876482,-0.13066644614833917,0.3251744497156234,0.16547619047618345,-0.12002972931705597,0.2813335753471941,-0.0033073119982388044,-0.6971878364321393,0.3794503779064595,-0.7894081079784732,0.6971956809831664,0.8758697107649674,-76.36235793372383,-55.901318905892765
14,-0.10827238033635311,0.20390856423981968,-0.1290031499117499,0.29683261747132217,0.216666666666659,-0.11863776512405151,0.2503705908555709,0.027839283860089103,-0.6192596898324643,0.6229319171665582,1.5585629319935013,0.6198851419232779,1.6784405221541163,-77.42361957512269,-21.225232827977152
15,-0.10445412319863182,0.1776137839607629,-0.13013584874008377,0.272115141455737,0.2678571428571347,-0.11729498596935779,0.22486446270824995,0.02685558309387437,-0.510122562946419,-0.01967401532429469,2.1827425377209053,0.5108289846615355,2.1828312011823723,-74.7964571024999,52.54324945245571
16,-0.1007447499925387,0.1548064200700529,-0.13447389083401073,0.2512546942924223,0.31904761904761036,-0.11760932041327471,0.2030305571812376,-0.006286688878338331,-0.43667811054024674,-0.662845439444254,1.4688890481234451,0.436723361731489,1.611520745224537,-70.72464386036782,81.4362648426416
17,-0.09774285590483178,0.13176208747507517,-0.13795736410274348,0.2313035926459496,0.37023809523808604,-0.11785011000378763,0.1815328400605124,-0.00481579181025843,-0.42995434241450414,0.029417941361598032,0.13447536251485204,0.42998131170069287,0.1376555062373289,-68.00142037990825,54.464469609191326
18,-0.09144521953090097,0.1101206174631128,-0.13659345925480962,0.20465420371333418,0.4214285714285617,-0.1140193393928553,0.15738741058822348,0.0766154122186466,-0.4829085894457785,1.6286240805781005,-1.0590849406254876,0.4889484913055205,1.942698460209035,-64.47135311552202,70.60134528772466
19,-0.07937517130882128,0.09435426423764334,-0.1312368170041672,0.1699281934323536,0.4726190476190373,-0.10530599415649425,0.13214122883499846,0.17426690472722106,-0.5049236350645003,1.9530298501714893,-0.44030091237443614,0.5341505699051111,2.0020465751571894,-55.540634876516854,178.61436478010333
20,-0.06642195996530571,0.0863654499744629,-0.12650226281941676,0.13965307392690968,0.5238095238095131,-0.09646211139236124,0.11300926195068628,0.17687765528266008,-0.3826393376862436,0.05221501110878046,2.445685947565135,0.421543079273351,2.4462432752084697,-41.57110169053663,279.3906637196045
21,-0.059803610412253544,0.08405067596592507,-0.12525117370838035,0.12684127463709446,0.5749999999999886,-0.09252739206031695,0.10544597530150976,0.07869438664088596,-0.1512657329835304,-1.9636653728354825,4.627472094054264,0.17051137341488387,5.026875737247149,-33.177261273777475,167.87680833518309
22,-0.06010951926389966,0.08401266584166327,-0.12605445959439773,0.12835397856486327,0.6261904761904642,-0.09308198942914869,0.10618332220326326,-0.011091947376634936,0.0147469380350701,-1.795726680350418,3.32025342037201,0.01845273632869217,3.774747287702101,-33.91684732756962,-14.7917210758429
23,-0.062148750256099596,0.08426810271172776,-0.12645846018098525,0.1312352851343234,0.67738095238094,-0.09430360521854242,0.10775169392302558,-0.024432315787874526,0.03136743439524636,-0.2668073682247918,0.33240992720352525,0.039759954669220984,0.4262423388666271,-36.141702351963126,-44.497100487870114
