,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,489,958,610,839
1,-0.4486486486486493,494,917,625,840
2,-0.3972972972972985,504,879,637,852
3,-0.3459459459459478,509,836,641,864
4,-0.294594594594597,501,815,634,866
5,-0.2432432432432463,501,809,627,869
6,-0.1918918918918956,498,809,621,874
7,-0.14054054054054482,503,810,622,872
8,-0.0891891891891941,497,803,627,873
9,-0.03783783783784339,502,775,614,879
10,0.01351351351350738,495,725,580,849
11,0.0648648648648581,485,665,542,806
12,0.11621621621620881,467,560,508,736
13,0.16756756756755953,454,466,463,644
14,0.21891891891891035,440,405,453,572
15,0.27027027027026107,432,322,427,515
16,0.3216216216216118,434,273,418,447
17,0.3729729729729625,436,204,406,362
18,0.4243243243243132,481,161,384,273
19,0.47567567567566404,483,155,385,269
20,0.5270270270270148,474,154,376,268
21,0.5783783783783654,482,153,373,270
22,0.6297297297297162,479,153,376,269
23,0.681081081081067,475,154,375,273
24,0.7324324324324176,479,157,381,268
25,0.7837837837837685,481,155,378,273
26,0.835135135135119,483,161,375,269
27,0.8864864864864699,480,154,376,272
28,0.9378378378378207,474,161,381,265
29,0.9891891891891713,469,153,381,273
30,1.0405405405405221,474,151,377,270
31,1.0918918918918727,481,157,378,274
32,1.1432432432432236,479,159,377,278
33,1.1945945945945744,483,156,388,265
34,1.245945945945925,480,165,386,270
35,1.2972972972972758,475,149,381,272
36,1.3486486486486264,479,153,377,268
37,1.3999999999999773,473,157,385,264
