,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,372,920,535,883
1,-0.4487499999999997,371,920,537,885
2,-0.3974999999999994,369,921,534,888
3,-0.34624999999999917,371,920,536,885
4,-0.2949999999999989,370,919,534,882
5,-0.24374999999999858,370,922,536,890
6,-0.19249999999999834,382,910,537,894
7,-0.14124999999999804,394,899,539,891
8,-0.08999999999999775,407,875,541,900
9,-0.03874999999999745,425,842,539,908
10,0.012500000000002842,424,804,536,901
11,0.06375000000000308,393,735,499,871
12,0.11500000000000332,368,674,451,815
13,0.16625000000000367,327,606,404,757
14,0.2175000000000039,265,514,346,652
15,0.26875000000000426,249,414,286,588
16,0.3200000000000045,254,345,261,518
17,0.37125000000000474,251,273,259,457
18,0.4225000000000051,243,189,258,382
19,0.47375000000000533,192,143,254,239
20,0.5250000000000057,161,132,260,169
21,0.5762500000000059,158,135,264,171
22,0.6275000000000062,157,129,264,172
23,0.6787500000000064,151,130,263,171
24,0.7300000000000066,153,132,262,169
25,0.7812500000000071,154,132,260,171
26,0.8325000000000073,154,130,264,171
27,0.8837500000000076,157,132,264,170
28,0.9350000000000078,150,132,260,171
29,0.9862500000000081,155,129,262,175
30,1.0375000000000085,153,136,260,172
31,1.0887500000000088,160,133,261,172
32,1.140000000000009,152,127,264,172
33,1.1912500000000092,156,129,265,170
34,1.2425000000000095,157,135,262,176
35,1.29375000000001,153,133,261,178
36,1.3450000000000102,154,129,264,173
37,1.3962500000000104,152,133,266,175
38,1.4475000000000107,153,129,263,167
39,1.498750000000011,157,129,261,176
40,1.5500000000000114,155,132,262,172
