,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,480,901,612,864
1,-0.44871794871794873,479,903,612,860
2,-0.39743589743589747,483,903,610,867
3,-0.34615384615384615,481,899,610,868
4,-0.2948717948717949,483,903,610,865
5,-0.2435897435897436,481,898,608,869
6,-0.1923076923076923,482,903,610,870
7,-0.14102564102564102,480,903,610,868
8,-0.08974358974358976,486,884,611,873
9,-0.03846153846153849,495,834,610,885
10,0.012820512820512775,487,802,594,890
11,0.0641025641025641,457,739,552,868
12,0.11538461538461542,421,661,498,796
13,0.16666666666666663,364,576,441,701
14,0.21794871794871795,291,482,394,627
15,0.26923076923076916,245,381,318,530
16,0.3205128205128205,215,279,266,460
17,0.3717948717948718,195,190,247,382
18,0.423076923076923,144,156,246,229
19,0.47435897435897434,135,153,249,236
20,0.5256410256410255,137,154,251,232
21,0.5769230769230769,137,148,254,231
22,0.6282051282051282,137,153,249,230
23,0.6794871794871795,137,159,251,224
24,0.7307692307692308,137,150,251,222
25,0.7820512820512819,132,153,248,229
26,0.8333333333333333,138,158,252,230
27,0.8846153846153846,131,148,251,216
28,0.9358974358974359,130,150,253,218
29,0.9871794871794872,131,154,252,231
30,1.0384615384615383,132,151,253,224
31,1.0897435897435896,132,154,249,227
32,1.141025641025641,139,151,249,221
33,1.1923076923076923,133,151,256,224
34,1.2435897435897436,137,150,248,222
35,1.2948717948717947,135,155,249,226
36,1.346153846153846,133,148,253,218
37,1.3974358974358974,133,154,246,230
38,1.4487179487179487,137,163,253,221
39,1.5,128,148,246,222
