,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,327,946,309,801
1,-0.44875000000000115,324,930,314,792
2,-0.3975000000000023,290,909,324,767
3,-0.3462500000000034,280,887,346,752
4,-0.29500000000000454,274,843,351,747
5,-0.24375000000000568,259,797,367,756
6,-0.19250000000000678,255,767,373,756
7,-0.14125000000000792,257,725,369,775
8,-0.09000000000000907,256,678,341,783
9,-0.03875000000001022,273,618,319,754
10,0.012499999999988631,293,560,308,707
11,0.06374999999998754,291,484,305,651
12,0.11499999999998645,272,409,306,565
13,0.16624999999998524,246,331,306,493
14,0.21749999999998415,221,262,284,425
15,0.26874999999998295,201,199,274,372
16,0.31999999999998185,170,154,266,276
17,0.37124999999998076,137,130,260,192
18,0.42249999999997956,137,133,263,193
19,0.47374999999997847,134,136,260,192
20,0.5249999999999773,136,134,261,187
21,0.5762499999999762,131,131,260,189
22,0.6274999999999751,132,137,265,188
23,0.678749999999974,132,134,264,188
24,0.7299999999999729,135,131,265,186
25,0.7812499999999716,132,133,262,187
26,0.8324999999999705,131,129,264,188
27,0.8837499999999694,127,132,260,189
28,0.9349999999999683,129,133,268,193
29,0.9862499999999672,131,132,261,188
30,1.037499999999966,132,137,265,188
31,1.0887499999999648,128,131,264,191
32,1.1399999999999637,129,129,263,190
33,1.1912499999999626,135,133,263,188
34,1.2424999999999615,131,134,259,193
35,1.2937499999999602,128,134,260,193
36,1.3449999999999591,128,135,264,191
37,1.396249999999958,136,129,265,188
38,1.447499999999957,132,129,263,185
39,1.4987499999999558,133,127,260,191
40,1.5499999999999545,131,135,262,189
