,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,373,850,480,936
1,-0.44905660377358403,407,844,478,940
2,-0.3981132075471681,425,849,472,944
3,-0.34716981132075214,455,834,463,951
4,-0.2962264150943362,472,830,459,946
5,-0.24528301886792025,484,828,450,947
6,-0.19433962264150428,499,827,445,941
7,-0.14339622641508837,506,830,445,937
8,-0.0924528301886724,540,841,440,932
9,-0.041509433962256426,569,820,447,926
10,0.00943396226415949,602,790,503,893
11,0.06037735849057546,614,753,554,887
12,0.11132075471699143,618,711,600,865
13,0.1622641509434074,633,668,609,827
14,0.21320754716982326,625,622,626,779
15,0.26415094339623924,612,586,631,738
16,0.3150943396226552,620,540,640,696
17,0.3660377358490712,615,490,648,652
18,0.41698113207548715,617,432,646,604
19,0.467924528301903,625,386,652,547
20,0.518867924528319,628,312,645,479
21,0.5698113207547351,624,254,649,414
22,0.6207547169811509,612,184,651,357
23,0.6716981132075668,603,128,655,293
24,0.7226415094339829,582,111,657,223
25,0.7735849056603987,570,63,658,166
26,0.8245283018868148,553,44,663,115
27,0.8754716981132307,541,57,672,88
28,0.9264150943396465,542,64,679,60
29,0.9773584905660626,550,68,686,56
30,1.0283018867924785,565,100,682,38
31,1.0792452830188946,564,111,671,33
32,1.1301886792453104,564,116,673,33
33,1.1811320754717263,563,115,676,25
34,1.2320754716981424,563,112,687,27
35,1.2830188679245582,562,109,683,39
36,1.3339622641509743,557,109,676,32
37,1.3849056603773902,556,110,683,32
38,1.435849056603806,558,117,681,39
39,1.486792452830222,559,116,684,33
40,1.537735849056638,554,113,682,30
41,1.5886792452830538,553,118,675,31
42,1.6396226415094701,554,115,689,29
43,1.690566037735886,555,113,682,32
44,1.7415094339623018,552,113,682,28
45,1.7924528301887177,555,115,682,27
46,1.8433962264151336,555,117,684,32
47,1.8943396226415499,556,116,674,28
48,1.9452830188679657,552,109,680,22
49,1.9962264150943816,550,107,687,31
50,2.0471698113207975,549,112,679,33
51,2.0981132075472133,563,115,686,23
52,2.1490566037736296,560,107,680,21
53,2.2000000000000455,557,116,683,27
