,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,362,462,208,430
1,-0.4489583333333324,361,463,202,433
2,-0.39791666666666475,356,461,207,433
3,-0.34687499999999716,360,463,193,419
4,-0.2958333333333295,354,464,185,449
5,-0.2447916666666619,347,442,173,446
6,-0.19374999999999432,322,424,165,447
7,-0.14270833333332666,302,411,154,448
8,-0.09166666666665907,283,394,153,450
9,-0.040624999999991473,248,374,175,439
10,0.010416666666676178,251,352,188,422
11,0.06145833333334383,244,333,206,396
12,0.11250000000001137,252,315,210,374
13,0.16354166666667902,251,301,218,353
14,0.21458333333334667,264,283,217,339
15,0.2656250000000142,261,272,227,316
16,0.31666666666668186,267,263,227,294
17,0.3677083333333495,272,248,226,286
18,0.41875000000001705,283,236,224,272
19,0.4697916666666847,286,223,240,255
20,0.5208333333333524,294,221,234,251
21,0.5718750000000199,301,215,236,246
22,0.6229166666666877,301,201,241,235
23,0.6739583333333552,323,192,249,233
24,0.7250000000000227,331,189,257,229
25,0.7760416666666905,340,187,269,215
26,0.827083333333358,350,189,271,197
27,0.8781250000000256,357,192,267,192
28,0.9291666666666933,361,200,271,196
29,0.9802083333333609,364,203,269,198
30,1.0312500000000284,364,205,272,192
31,1.0822916666666962,365,208,275,189
32,1.1333333333333637,367,209,278,193
33,1.1843750000000313,365,203,282,201
34,1.235416666666699,368,195,275,195
35,1.2864583333333666,366,200,270,195
36,1.337500000000034,367,198,275,192
37,1.3885416666667019,372,199,272,192
38,1.4395833333333694,373,203,272,196
39,1.490625000000037,373,203,270,192
40,1.5416666666667047,367,203,267,194
41,1.5927083333333725,367,200,273,195
42,1.6437500000000398,369,204,268,190
43,1.6947916666667076,366,202,272,195
44,1.7458333333333753,370,203,275,195
45,1.7968750000000426,367,201,270,193
46,1.8479166666667104,377,205,272,191
47,1.8989583333333782,367,201,275,196
48,1.9500000000000455,370,204,271,190
