,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,541,899,654,841
1,-0.44891304347826283,540,895,655,840
2,-0.39782608695652566,540,888,653,839
3,-0.34673913043478855,545,877,649,838
4,-0.2956521739130514,550,858,654,841
5,-0.2445652173913142,556,827,657,850
6,-0.1934782608695771,561,803,654,868
7,-0.14239130434783992,568,772,644,881
8,-0.09130434782610275,572,743,634,872
9,-0.04021739130436558,573,705,630,846
10,0.01086956521737159,585,667,621,819
11,0.061956521739108705,593,617,619,774
12,0.11304347826084582,596,566,626,708
13,0.16413043478258305,606,507,631,656
14,0.21521739130432016,608,442,642,609
15,0.2663043478260574,606,398,655,556
16,0.3173913043477945,608,358,658,513
17,0.3684782608695316,593,325,646,478
18,0.41956521739126884,583,277,644,437
19,0.47065217391300596,555,256,654,377
20,0.5217391304347432,540,272,663,345
21,0.5728260869564803,529,275,659,317
22,0.6239130434782174,526,270,662,302
23,0.6749999999999545,520,268,664,282
24,0.7260869565216916,517,265,664,266
25,0.777173913043429,521,267,668,260
26,0.8282608695651661,521,269,666,262
27,0.8793478260869032,521,261,665,259
28,0.9304347826086403,521,262,663,262
29,0.9815217391303774,520,267,665,259
30,1.0326086956521148,519,265,664,269
31,1.0836956521738519,526,259,669,267
32,1.134782608695589,522,263,670,267
33,1.1858695652173261,524,250,669,272
34,1.2369565217390632,520,257,668,268
35,1.2880434782608006,515,256,669,260
36,1.3391304347825377,520,259,664,264
37,1.3902173913042748,522,256,666,264
38,1.441304347826012,516,257,668,265
39,1.492391304347749,528,275,669,249
40,1.5434782608694864,528,290,657,243
41,1.5945652173912235,530,287,657,219
42,1.6456521739129606,526,283,655,204
43,1.6967391304346977,527,285,649,198
44,1.7478260869564348,528,282,649,198
45,1.798913043478172,523,276,654,200
46,1.849999999999909,527,280,652,202
