,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,586,970,658,819
1,-0.4486486486486493,590,966,665,820
2,-0.3972972972972985,590,961,673,818
3,-0.3459459459459478,590,946,674,813
4,-0.294594594594597,585,933,684,802
5,-0.2432432432432463,581,900,694,796
6,-0.1918918918918956,585,841,710,805
7,-0.14054054054054482,589,811,713,810
8,-0.0891891891891941,596,771,705,817
9,-0.03783783783784339,582,737,694,821
10,0.01351351351350738,572,688,673,808
11,0.0648648648648581,552,645,656,773
12,0.11621621621620881,531,590,616,703
13,0.16756756756755953,521,516,587,657
14,0.21891891891891035,506,438,559,585
15,0.27027027027026107,490,377,540,522
16,0.3216216216216118,475,313,521,442
17,0.3729729729729625,449,269,520,390
18,0.4243243243243132,415,225,506,306
19,0.47567567567566404,411,223,500,303
20,0.5270270270270148,415,218,502,305
21,0.5783783783783654,415,222,503,303
22,0.6297297297297162,411,220,501,303
23,0.681081081081067,411,217,499,305
24,0.7324324324324176,411,217,503,303
25,0.7837837837837685,405,218,501,303
26,0.835135135135119,413,219,504,304
27,0.8864864864864699,411,222,500,309
28,0.9378378378378207,406,221,502,303
29,0.9891891891891713,414,218,500,302
30,1.0405405405405221,410,225,500,303
31,1.0918918918918727,407,218,506,303
32,1.1432432432432236,408,220,502,304
33,1.1945945945945744,406,215,504,303
34,1.245945945945925,414,220,501,301
35,1.2972972972972758,407,220,498,305
36,1.3486486486486264,408,217,501,306
37,1.3999999999999773,410,220,499,304
