,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,201,903,339,927
1,-0.4487804878048803,201,907,335,927
2,-0.39756097560976056,204,904,339,927
3,-0.3463414634146408,201,906,337,931
4,-0.29512195121952106,203,909,340,926
5,-0.24390243902440134,201,907,338,925
6,-0.19268292682928156,204,901,335,931
7,-0.14146341463416184,213,884,334,933
8,-0.09024390243904212,222,879,334,935
9,-0.0390243902439224,243,872,335,937
10,0.012195121951197319,287,834,327,940
11,0.0634146341463171,304,782,325,934
12,0.11463414634143687,312,715,312,878
13,0.16585365853655654,312,650,328,812
14,0.2170731707316763,287,575,315,735
15,0.268292682926796,258,496,301,647
16,0.31951219512191575,238,398,276,568
17,0.37073170731703553,193,319,261,486
18,0.4219512195121552,189,240,252,448
19,0.47317073170727497,180,190,238,383
20,0.5243902439023946,176,146,227,357
21,0.5756097560975144,193,99,188,257
22,0.6268292682926342,195,99,188,255
23,0.678048780487754,190,95,185,264
24,0.7292682926828737,194,99,185,257
25,0.7804878048779933,193,96,185,254
26,0.8317073170731131,193,96,185,263
27,0.8829268292682328,190,101,188,261
28,0.9341463414633526,191,93,183,260
29,0.9853658536584724,194,92,181,261
30,1.036585365853592,192,90,185,259
31,1.0878048780487117,192,91,180,254
32,1.1390243902438315,193,94,183,261
33,1.1902439024389513,193,95,186,260
34,1.241463414634071,191,95,179,256
35,1.2926829268291906,185,97,182,261
36,1.3439024390243104,188,92,185,256
37,1.3951219512194302,189,96,180,261
38,1.44634146341455,192,94,188,257
39,1.4975609756096697,193,102,185,258
40,1.5487804878047893,195,101,176,263
41,1.599999999999909,191,89,185,261
