,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,614,857,775,901
1,-0.4486842105263146,607,866,767,891
2,-0.3973684210526292,605,867,763,887
3,-0.3460526315789438,607,861,760,890
4,-0.2947368421052584,608,864,762,896
5,-0.243421052631573,605,864,759,894
6,-0.19210526315788756,608,862,763,889
7,-0.1407894736842022,616,862,760,895
8,-0.08947368421051677,638,826,760,898
9,-0.038157894736831344,636,802,754,890
10,0.013157894736854026,617,760,726,880
11,0.06447368421053945,615,707,689,831
12,0.11578947368422488,596,651,667,789
13,0.1671052631579103,562,588,636,735
14,0.2184210526315956,514,494,600,656
15,0.26973684210528104,490,425,569,593
16,0.32105263157896646,464,353,527,524
17,0.3723684210526519,451,253,492,436
18,0.4236842105263373,453,151,460,337
19,0.4750000000000226,446,85,427,229
20,0.526315789473708,445,85,424,230
21,0.5776315789473936,444,85,424,229
22,0.6289473684210789,444,77,425,230
23,0.6802631578947642,443,77,427,226
24,0.7315789473684498,443,81,423,224
25,0.7828947368421351,447,81,423,222
26,0.8342105263158206,444,73,426,225
27,0.8855263157895059,449,78,421,226
28,0.9368421052631912,444,80,419,229
29,0.9881578947368768,448,77,423,227
30,1.039473684210562,440,76,424,220
31,1.0907894736842476,443,76,423,218
32,1.142105263157933,447,75,423,222
33,1.1934210526316182,446,77,423,227
34,1.2447368421053038,446,80,424,230
35,1.296052631578989,445,76,424,225
36,1.3473684210526746,444,78,426,220
37,1.39868421052636,444,80,419,219
38,1.4500000000000455,447,86,429,227
