,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,662,871,714,750
1,-0.4486842105263146,644,849,723,752
2,-0.3973684210526292,636,842,731,755
3,-0.3460526315789438,638,836,725,750
4,-0.2947368421052584,636,828,731,752
5,-0.243421052631573,637,822,736,752
6,-0.19210526315788756,640,791,745,753
7,-0.1407894736842022,634,754,748,766
8,-0.08947368421051677,631,732,747,770
9,-0.038157894736831344,621,697,734,771
10,0.013157894736854026,603,656,715,772
11,0.06447368421053945,580,609,683,733
12,0.11578947368422488,556,560,648,686
13,0.1671052631579103,524,500,618,620
14,0.2184210526315956,496,443,594,575
15,0.26973684210528104,478,386,562,504
16,0.32105263157896646,450,326,537,450
17,0.3723684210526519,422,273,512,396
18,0.4236842105263373,396,240,509,341
19,0.4750000000000226,363,198,487,281
20,0.526315789473708,360,199,486,279
21,0.5776315789473936,358,199,486,281
22,0.6289473684210789,365,196,483,281
23,0.6802631578947642,359,195,481,277
24,0.7315789473684498,359,199,479,275
25,0.7828947368421351,358,198,481,277
26,0.8342105263158206,360,192,489,276
27,0.8855263157895059,358,196,489,278
28,0.9368421052631912,353,194,482,276
29,0.9881578947368768,356,194,487,275
30,1.039473684210562,360,198,483,276
31,1.0907894736842476,362,196,484,277
32,1.142105263157933,353,197,482,272
33,1.1934210526316182,357,191,483,278
34,1.2447368421053038,357,192,482,276
35,1.296052631578989,355,193,481,274
36,1.3473684210526746,355,194,481,276
37,1.39868421052636,360,191,482,273
38,1.4500000000000455,356,193,483,275
