,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,537,426,682,413
1,-0.44907407407407407,533,429,678,416
2,-0.39814814814814814,535,430,679,411
3,-0.3472222222222222,535,427,683,413
4,-0.2962962962962963,532,425,686,410
5,-0.2453703703703704,533,425,681,410
6,-0.19444444444444448,529,430,680,412
7,-0.14351851851851855,537,422,690,407
8,-0.09259259259259262,540,413,702,404
9,-0.041666666666666685,567,399,712,411
10,0.00925925925925919,568,367,706,413
11,0.06018518518518512,519,351,647,375
12,0.11111111111111105,485,339,626,360
13,0.16203703703703698,457,315,586,356
14,0.2129629629629629,458,289,545,331
15,0.26388888888888884,435,269,506,310
16,0.31481481481481477,427,246,493,292
17,0.3657407407407407,405,235,465,272
18,0.41666666666666663,407,215,443,251
19,0.46759259259259256,390,203,434,240
20,0.5185185185185184,382,198,437,234
21,0.5694444444444444,379,187,411,220
22,0.6203703703703702,370,169,408,199
23,0.6712962962962963,367,161,401,191
24,0.7222222222222221,360,147,390,172
25,0.7731481481481481,360,140,398,161
26,0.824074074074074,353,138,416,157
27,0.875,351,135,423,154
28,0.9259259259259258,353,136,435,154
29,0.9768518518518519,358,135,443,158
30,1.0277777777777777,378,136,441,158
31,1.0787037037037037,374,138,433,160
32,1.1296296296296295,374,138,436,161
33,1.1805555555555554,350,137,441,149
34,1.2314814814814814,346,139,457,141
35,1.2824074074074072,363,148,453,141
36,1.3333333333333333,371,159,459,140
37,1.384259259259259,372,160,458,140
38,1.4351851851851851,367,161,457,138
39,1.486111111111111,365,165,456,138
40,1.5370370370370368,366,159,452,140
41,1.5879629629629628,365,161,451,138
42,1.6388888888888888,354,159,446,142
43,1.6898148148148149,364,161,452,137
44,1.7407407407407405,367,161,455,139
45,1.7916666666666665,358,161,445,137
46,1.8425925925925926,360,161,453,142
47,1.8935185185185186,360,158,451,137
48,1.9444444444444442,363,161,453,140
49,1.9953703703703702,366,163,457,139
50,2.0462962962962963,362,159,451,138
51,2.097222222222222,360,164,454,139
52,2.148148148148148,360,165,455,139
53,2.199074074074074,361,162,457,139
54,2.25,360,162,451,140
