,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,848,865,760,783
1,-0.44861111111111046,848,865,758,786
2,-0.397222222222221,850,862,761,792
3,-0.34583333333333144,842,862,751,778
4,-0.29444444444444196,816,865,743,754
5,-0.24305555555555242,770,854,760,735
6,-0.19166666666666288,727,829,779,730
7,-0.1402777777777734,693,796,790,728
8,-0.08888888888888385,691,788,791,727
9,-0.037499999999994316,682,755,798,733
10,0.013888888888895168,658,695,784,745
11,0.06527777777778465,614,637,732,714
12,0.11666666666667425,564,551,682,670
13,0.16805555555556373,528,476,620,608
14,0.2194444444444532,492,405,567,544
15,0.2708333333333428,469,325,541,490
16,0.3222222222222323,468,254,495,418
17,0.3736111111111218,398,187,503,260
18,0.42500000000001137,392,183,509,257
19,0.47638888888890085,388,180,511,258
20,0.5277777777777903,388,178,504,262
21,0.5791666666666799,381,187,506,261
22,0.6305555555555693,389,184,512,266
23,0.6819444444444589,387,183,508,259
24,0.7333333333333485,385,184,510,260
25,0.7847222222222379,384,187,507,260
26,0.8361111111111275,386,184,514,264
27,0.887500000000017,388,192,516,263
28,0.9388888888889064,393,187,509,258
29,0.990277777777796,389,185,509,259
30,1.0416666666666856,386,185,506,257
31,1.093055555555575,384,186,510,260
32,1.1444444444444646,389,181,510,258
33,1.1958333333333542,385,181,510,262
34,1.2472222222222435,386,186,509,261
35,1.2986111111111331,387,185,507,263
36,1.3500000000000227,379,178,516,261
