,time,n-xpos,n-ypos,t-xpos,t-ypos
0,-0.5,503,472,513,416
1,-0.4489583333333324,496,470,513,412
2,-0.39791666666666475,486,470,525,412
3,-0.34687499999999716,469,468,548,401
4,-0.2958333333333295,453,456,563,402
5,-0.2447916666666619,444,436,576,396
6,-0.19374999999999432,435,426,585,390
7,-0.14270833333332666,423,413,590,396
8,-0.09166666666665907,416,405,594,400
9,-0.040624999999991473,398,383,575,402
10,0.010416666666676178,363,365,542,388
11,0.06145833333334383,327,352,495,362
12,0.11250000000001137,316,340,473,364
13,0.16354166666667902,304,314,450,351
14,0.21458333333334667,297,300,419,345
15,0.2656250000000142,283,291,383,322
16,0.31666666666668186,275,269,343,319
17,0.3677083333333495,263,252,324,289
18,0.41875000000001705,262,232,309,272
19,0.4697916666666847,265,215,287,265
20,0.5208333333333524,275,209,289,249
21,0.5718750000000199,285,206,288,246
22,0.6229166666666877,285,198,273,244
23,0.6739583333333552,299,187,272,230
24,0.7250000000000227,311,180,283,215
25,0.7760416666666905,326,170,282,202
26,0.827083333333358,342,171,282,195
27,0.8781250000000256,362,165,279,178
28,0.9291666666666933,365,175,278,175
29,0.9802083333333609,380,178,283,172
30,1.0312500000000284,391,175,288,170
31,1.0822916666666962,399,168,292,167
32,1.1333333333333637,402,174,293,163
33,1.1843750000000313,396,177,299,175
34,1.235416666666699,380,171,297,168
35,1.2864583333333666,358,178,289,167
36,1.337500000000034,344,182,293,164
37,1.3885416666667019,326,187,299,163
38,1.4395833333333694,326,189,298,160
39,1.490625000000037,328,185,295,164
40,1.5416666666667047,329,191,290,165
41,1.5927083333333725,330,188,295,164
42,1.6437500000000398,330,188,296,163
43,1.6947916666667076,326,189,293,165
44,1.7458333333333753,333,187,298,164
45,1.7968750000000426,328,191,291,161
46,1.8479166666667104,333,192,295,165
47,1.8989583333333782,337,193,291,163
48,1.9500000000000455,337,192,286,161
